Name,AltName,Region,Province,City,Established,Established_Year,Specialisation,Address,Phone,PrimaryEmail,SecondaryEmail,Column24
Museum Simalungun,,Sumatra, North Sumatra,Pematangsiantar,"Apr 30, 1940",1940,"History, archaeology, and ethnography",,,,,
Museum Huta Balon Simanindo,,Sumatra, North Sumatra,Simanindo,1971,1971,History and open air,,,,,
Museum Rumah Bolon Pematang Purba,,Sumatra, North Sumatra,Pematang Purba,1961,1961,History and open air,,,,,
Museum Pusaka Nias,,Sumatra, North Sumatra,Nias,2008,2008,Ethnography,"Jl. Yos Sudarso No. 134 A
Gunungsitoli, Nias
Sumatra 22812
Indonesia
", +62 (0639) 21920,,,http://www.museum.pusaka-nias.org/
Rahmat International Wildlife Museum and Gallery,,Sumatra, North Sumatra,Medan,"May 14, 1999",1999,Natural history,"Jl. S. Parman No. 309
Medan 20112
Sumatra
Indonesia
"," +62 61 456 9964
Fax: +62 61 457 5934
",rahmatgallery@gmail.com ,,http://www.rahmatgallery.com/
Chinese Museum,,Sumatra, Riau Sumatra,Bagansiapiapi,,,History,,,,,
Fish Museum,,Sumatra, Riau Sumatra,Bagansiapiapi,,,History,,,,,
History Museum,,Sumatra, Riau Sumatra,Bagansiapiapi,,,History,,,,,
Muslim Museum,,Sumatra, Riau Sumatra,Bagansiapiapi,,,History and religion,,,,,
Museum Kandil Riau,,Sumatra, Riau Sumatra,Tanjung Pinang,"May 22, 1988",1988,History,,,,,
Museum Sang Nila Utama,,Sumatra, Riau Sumatra,Pekanbaru,"Jul 9, 1994",1994,History and ethnography,"Jl. Jenderal Sudirman No. 194
Tangkerang Selatan, Pekanbaru 28282
Sumatra
Indonesia
"," +62 (0761) 33466 
Fax: +62 (0761) 40195",,,
Museum Istana Siak Sri Indrapura,,Sumatra, Riau Sumatra,Indrapura,,,History,,,,,
Museum Sultan Sulaiman Badrul Alamsyah,,Sumatra, Riau Sumatra,Tanjung Pinang,,,History,"Museum Sultan Sulaiman Badrul Alamsyah
Jl. Ketapang no.2
Tanjungpinang, Riau
Sumatra
Indonesia
", +62 (0771) 31388,,,
Adityawarman Museum,,Sumatra, West Sumatra,Padang,"Mar 16, 1977",1977,Botanical,,,,,http://museumadityawarman.info/
Bung Hatta Museum,,Sumatra, West Sumatra,Bukittinggi,"Aug 12, 1995",1995,History,"Jl. Soekarno - Hatta, No. 37
Bukittinggi
Sumatra
Indonesia
", +62 (0752) 23503,,,
Tri Daya Eka Dharma Museum,,Sumatra, West Sumatra,Bukittinggi,"Aug 16, 1973",1973,History and military ,"Jl. Panorama, No. 22
", +62 (0815) 3548 3070,,,
Museum Gempa 30 September 2009,,Sumatra, West Sumatra,Padang,,,,,,,,
Goedang Ransoem Museum,,Sumatra, West Sumatra,Sawahlunto,,,,,,,,
Galeri Tambang Mbah Soero,,Sumatra, West Sumatra,Sawahlunto,,,,,,,,
Museum rumah Adat Baanjuang,,Sumatra, West Sumatra,Bukittinggi,,,,,,,,
Railway Museum,,Sumatra, West Sumatra,Sawahlunto,,,,,,,,
Museum Taman Bundo Kandung,,Sumatra, West Sumatra,Bukittinggi,,,,,,,,
Bukittinggi Zoological Museum,,Sumatra, West Sumatra,Bukittinggi,,,,,,,,
Rumah Puisi Taufiq Ismail,,Sumatra, West Sumatra,Tanah Datar,,,,,,,,
Rumah Kelahiran Tan Malaka,,Sumatra, West Sumatra,Lima Puluh Kota,,,,,,,,
Bengkulu State Museum,,Sumatra, Bengkulu,,,,,,,,,
Fort Marlborough,,Sumatra, Bengkulu,,,,,,,,,
Jambi Museum,,Sumatra, Jambi,,,,,,,,,
Muaro Jambi Temple Compounds Site Museum,,Sumatra, Jambi,Muaro Jambi,,,,,,,,
Museum Perjuangan Rakyat Jambi,,Sumatra, Jambi,,,,,,,,,
Balaputradewa Museum,,Sumatra, South Sumatra,Palembang,,,,,,,,
Museum UPT Belitung,,Sumatra, South Sumatra,Belitung,,,,,,,,
Sriwijaya Museum,,Sumatra, South Sumatra,Palembang,,,,,,,,
Sultan Mahmud Badaruddin II Museum,,Sumatra, South Sumatra,Palembang,,,,,,,,
Textile Museum,,Sumatra, South Sumatra,Palembang,,,,,,,,
Ruwa Jurai Museum,,Sumatra, Lampung,Bandar Lampung,,,,,,,,
Balanga Museum,,Kalimantan,Central Kalimantan,Palangkaraya,,,,,,,,
Kayu Sampit Museum,,Kalimantan,Central Kalimantan,East Kotawaringin,,,,,,,,
Lewu Hante Museum,,Kalimantan,Central Kalimantan,East Barito,,,,,,,,
Bulungan Sultanate Museum,,Kalimantan,North Kalimantan,Bulungan,,,,,,,,
Kalimantan Art Gallery,,Kalimantan,East Kalimantan,Samarinda,,,,,,,,
Mulawarman State Museum,,Kalimantan,East Kalimantan,Tenggarong,,,,,,,,
Museum Batiwakkal,,Kalimantan,East Kalimantan,Gunung Tabur,,,,,,,,
Museum Kayu Tuah Himba,,Kalimantan,East Kalimantan,Tenggarong,,,,,,,,
Museum Perjuangan Merah Putih,,Kalimantan,East Kalimantan,Sanga-Sanga,,,,,,,,
Sadurengas Museum,,Kalimantan,East Kalimantan,Paser Belengkong,,,,,,,,
Sendarwar Museum,,Kalimantan,East Kalimantan,West Kutai,,,,,,,,
Candi Agung Museum,,Kalimantan,South Kalimantan,North Hulu Sungai,,,,,,,,
Lambung Mangkurat State Museum,,Kalimantan,South Kalimantan,Banjarbaru,,,,,,,,
Wasaka Museum,,Kalimantan,South Kalimantan,Banjarmasin,,,,,,,,
West Kalimantan State Museum,,Kalimantan,West Kalimantan,Pontianak,,,,,,,,
Museum Dara Juanti,,Kalimantan,West Kalimantan,Sintang,,,,,,,,
Museum Istana Kadriyah,,Kalimantan,West Kalimantan,Pontianak,,,,,,,,
Museum Kapuas Raya,,Kalimantan,West Kalimantan,Singtang,,,,,,,,
Manado Wanua Paksinata North Sulawesi Provincial Museum,,Sulawesi, North Sulawesi,Manado,,,,,,,,
Kaili Souraja Museum,,Sulawesi, Central Sulawesi,Kaili,,,,,,,,
Palu Central Sulawesi Provincial Museum,,Sulawesi, Central Sulawesi,Palu,,,,,,,,
Museum batara Guru,,Sulawesi, South Sulawesi,Wara Utama,,,,,,,,
Museum Indo' Ta'dung,,Sulawesi, South Sulawesi,Toraja Utara,,,,,,,,
Museum la Galigo,,Sulawesi, South Sulawesi,Makassar,,,,,,,,
Sungguminasa Balla Lompoa Museum,,Sulawesi, South Sulawesi,Ujung Pandang,,,,,,,,
Buton Palace Museum,,Sulawesi, Southeast Sulawesi,Buton Island,,,,,,,,
Southeast Sulawesi State Museum,,Sulawesi, Southeast Sulawesi,Kendari,,,,,,,,
Siwa Lima State Museum,,Moluccas, Maluku,Ambon,,,,,,,,
Kendaton Sultan Ternate Museum,,Moluccas, Maluku Islands,Kota Ternate Utara,,,,,,,,
Sonyie Malige Museum,,Moluccas, Maluku Islands,Tidore,,,,,,,,
Asmat Museum of Culture and Progress,,Papua,West Papua,Agats,,,,,,,,
Loka Budaya Museum,,Papua,West Papua,Jayapura,,,,,,,,
Papua Province State Museum,,Papua,West Papua,Jayapura,,,,,,,,
